"Id","Category","ImageFolder","ImagePath","Source"
"396_protector","bracelet","bracelets","assets\images\products\bracelets\396_protector.jpg","bracelets.json"
"396_protector_bracelet","bracelet","bracelets","assets\images\products\bracelets\396_protector_bracelet.jpg","catalog.json"
"528_flow","bracelet","bracelets","assets\images\products\bracelets\528_flow.jpg","bracelets.json"
"528_flow_bracelet","bracelet","bracelets","assets\images\products\bracelets\528_flow_bracelet.jpg","catalog.json"
"639_drive","bracelet","bracelets","assets\images\products\bracelets\639_drive.jpg","bracelets.json"
"639_drive_bracelet","bracelet","bracelets","assets\images\products\bracelets\639_drive_bracelet.jpg","catalog.json"
"852_seer","bracelet","bracelets","assets\images\products\bracelets\852_seer.jpg","bracelets.json"
"852_seer_bracelet","bracelet","bracelets","assets\images\products\bracelets\852_seer_bracelet.jpg","catalog.json"
"transfusion","bracelet","bracelets","assets\images\products\bracelets\transfusion.jpg","catalog.json"
"transfusion_set","fusion","apparel","assets\images\products\apparel\transfusion_set.jpg","catalog.json"
"396_protector_hoodie","hoodie","apparel","assets\images\products\apparel\396_protector_hoodie.jpg","catalog.json"
"528_flow_hoodie","hoodie","apparel","assets\images\products\apparel\528_flow_hoodie.jpg","catalog.json"
"kids_beads_1_18","kids","apparel","assets\images\products\apparel\kids_beads_1_18.jpg","catalog.json"
"fusion_night_shoe","shoe","apparel","assets\images\products\apparel\fusion_night_shoe.jpg","catalog.json"
"entrus_core_tee","tee","apparel","assets\images\products\apparel\entrus_core_tee.jpg","catalog.json"
